Code,Area,price_m_2001
E01000616,Brent 020A,104000.00
E01000617,Brent 017C,104000.00
E01000618,Brent 017D,104000.00
E01000619,Brent 017E,104000.00
E01000620,Brent 020B,104100.00
E01000621,Brent 020C,104250.00
E01000622,Brent 010D,104350.00
E01000623,Brent 005C,104500.00
E01000624,Brent 005D,104500.00
E01000625,Brent 009E,104500.00
E01000626,Brent 010E,104500.00
E01000627,Brent 014E,104750.00
E01000628,Brent 014F,104950.00
E01000629,Brent 005E,104995.00
E01000630,Brent 026E,105000.00
E01000631,Brent 019C,105000.00
E01000632,Brent 029E,105000.00
E01000633,Brent 019D,105000.00
E01000634,Brent 019E,105000.00
E01000635,Brent 020D,105000.00
E01000636,Brent 020E,105000.00
E01000637,Brent 022B,105000.00
E01000638,Brent 024A,105000.00
E01000639,Brent 022C,105000.00
E01000640,Brent 024B,105000.00
E01000641,Brent 024C,105000.00
E01000642,Brent 022D,105000.00
E01000643,Brent 024D,105000.00
E01000644,Brent 022E,105000.00
E01033424,Brent 017F,105000.00
E01033455,Brent 031G,105000.00
E01033456,Brent 027F,105000.00
E01033457,Brent 017G,105000.00
E01033463,Brent 003G,105000.00
E01033464,Brent 010F,105000.00
E01033485,Brent 031H,105000.00
E01000645,Bromley 007A,105000.00
E01000646,Bromley 016A,105000.00
E01000647,Bromley 016B,105000.00
E01000648,Bromley 016C,105000.00
E01000649,Bromley 007B,105000.00
E01000650,Bromley 022A,105000.00
E01000651,Bromley 020A,105000.00
E01000652,Bromley 022B,105000.00
E01000653,Bromley 016D,105000.00
E01000654,Bromley 039A,105000.00
E01000655,Bromley 039B,105000.00
E01000656,Bromley 039C,105000.00
E01000657,Bromley 039D,105250.00
E01000658,Bromley 042A,105500.00
E01000659,Bromley 039E,105500.00
E01000661,Bromley 026A,105500.00
E01000662,Bromley 026B,105500.00
E01000663,Bromley 026C,105500.00
E01000664,Bromley 026D,105500.00
E01000665,Bromley 033A,105750.00
E01000666,Bromley 033B,105750.00
E01000667,Bromley 033C,105950.00
E01000668,Bromley 020B,106000.00
E01000669,Bromley 020C,106000.00
E01000670,Bromley 018A,106000.00
E01000671,Bromley 020D,106000.00
E01000672,Bromley 011A,106000.00
E01000673,Bromley 011B,106000.00
E01000674,Bromley 008A,106000.00
E01000675,Bromley 018B,106000.00
E01000676,Bromley 008B,106000.00
E01000677,Bromley 018C,106000.00
E01000678,Bromley 016E,106000.00
E01000679,Bromley 020E,106500.00
E01000680,Bromley 037A,106500.00
E01000681,Bromley 035A,106500.00
E01000682,Bromley 035B,106500.00
E01000683,Bromley 035C,106500.00
E01000684,Bromley 035D,106500.00
E01000685,Bromley 037B,106725.00
E01000686,Bromley 037C,106995.00
E01000687,Bromley 037D,106995.00
E01000688,Bromley 037E,107000.00
E01000689,Bromley 002A,107000.00
E01000690,Bromley 002B,107000.00
E01000691,Bromley 002C,107000.00
E01000692,Bromley 002D,107000.00
E01000693,Bromley 010A,107000.00
E01000694,Bromley 007C,107000.00
E01000695,Bromley 007D,107000.00
E01000696,Bromley 007E,107000.00
E01000697,Bromley 007F,107000.00
E01000698,Bromley 010B,107000.00
E01000699,Bromley 015A,107000.00
E01000700,Bromley 013A,107250.00
E01000701,Bromley 015B,107500.00
E01000702,Bromley 013B,107500.00
E01000703,Bromley 013C,107500.00
E01000704,Bromley 015C,107500.00
E01000705,Bromley 015D,107500.00
E01000706,Bromley 013D,107500.00
E01000707,Bromley 041A,107500.00
E01000708,Bromley 041B,107500.00
E01000709,Bromley 006A,107500.00
E01000710,Bromley 006B,107995.00
E01000711,Bromley 006C,107997.50
E01000712,Bromley 012A,108000.00
E01000713,Bromley 012B,108000.00
E01000714,Bromley 006D,108000.00
E01000715,Bromley 012C,108000.00
E01000716,Bromley 011C,108000.00
E01000717,Bromley 011D,108000.00
E01000718,Bromley 006E,108000.00
E01000719,Bromley 019A,108000.00
E01000720,Bromley 019B,108000.00
E01000721,Bromley 019C,108000.00
E01000722,Bromley 023A,108000.00
E01000723,Bromley 029A,108000.00
E01000724,Bromley 019D,108000.00
E01000725,Bromley 023B,108000.00
E01000726,Bromley 029B,108000.00
E01000727,Bromley 028A,108000.00
E01000728,Bromley 019E,108000.00
E01000729,Bromley 014A,108000.00
E01000730,Bromley 014B,108000.00
E01000731,Bromley 023C,108000.00
E01000732,Bromley 023D,108250.00
E01000733,Bromley 023E,108250.00
E01000734,Bromley 028B,108375.00
E01000735,Bromley 014C,108500.00
E01000736,Bromley 010C,108500.00
E01000737,Bromley 010D,108500.00
E01000738,Bromley 014D,108500.00
E01000739,Bromley 014E,108997.50
E01000740,Bromley 005A,109000.00
E01000741,Bromley 005B,109000.00
E01000742,Bromley 005C,109000.00
E01000743,Bromley 009A,109000.00
E01000744,Bromley 009B,109000.00
E01000745,Bromley 005D,109000.00
E01000746,Bromley 005E,109000.00
E01000747,Bromley 042B,109000.00
E01000748,Bromley 042C,109000.00
E01000749,Bromley 036A,109000.00
E01000750,Bromley 036B,109000.00
E01000751,Bromley 036C,109000.00
